Date,Product_Name,Units_Sold,Unit_Price,Revenue,Production_Cost,Raw_Material_Cost,Labor_Hours,Defect_Count,Machine_Downtime_hrs,Inventory_Level,Supplier_Delay_days,Customer_Returns,Profit,Profit_Margin_pct
2023-01-01,Bolts & Nuts,91,70.95,6434.24,4039.68,1951.02,126.5,6,3.76,473,2,3,1002.85,15.59
2023-01-04,Plastic Valves,429,45.44,19576.89,10809.72,4914.98,651.5,30,9.71,809,4,12,7522.02,38.42
2023-01-07,Aluminum Sheets,228,17.75,3960.61,2895.51,1190.85,383.9,8,2.7,299,2,3,-916.58,-23.14
2023-01-10,Plastic Valves,112,122.27,13818.63,7852.54,4499.07,139.7,8,3.13,636,4,4,5261.43,38.07
2023-01-13,Plastic Valves,401,138.74,53022.69,32548.65,18311.23,252.8,7,4.27,565,1,5,18931.32,35.7
2023-01-16,Copper Pipes,280,13.15,3511.65,2598.66,1559.05,365.6,19,8.27,188,2,8,-193.49,-5.51
2023-01-19,Aluminum Sheets,290,107.3,32120.84,23773.32,14248.0,400.3,5,3.99,367,0,2,7205.22,22.43
2023-01-22,Aluminum Sheets,101,53.03,5281.15,3510.31,1794.07,163.4,4,2.39,754,5,3,194.44,3.68
2023-01-25,Aluminum Sheets,145,132.58,18507.16,12517.64,6932.24,166.4,10,5.0,670,2,5,4450.87,24.05
2023-01-28,Plastic Valves,437,43.13,18889.73,12083.55,7116.64,302.1,9,3.31,588,2,5,4819.3,25.51
2023-01-31,Bolts & Nuts,271,141.28,39320.6,23932.17,13639.65,250.9,7,2.98,976,3,3,14695.84,37.37
2023-02-03,Aluminum Sheets,456,83.48,36985.1,22772.94,10235.74,476.3,28,11.09,637,2,10,13556.0,36.65
2023-02-06,Plastic Valves,280,187.98,53281.23,36471.2,17874.86,411.3,17,5.14,146,6,8,15223.52,28.57
2023-02-09,Copper Pipes,286,36.13,9904.71,6938.0,2954.42,387.9,16,5.06,387,2,5,1599.13,16.15
2023-02-12,Bolts & Nuts,192,74.8,13717.74,9716.49,5740.6,198.6,11,3.92,877,2,5,3090.01,22.53
2023-02-15,Copper Pipes,220,31.56,6964.97,4930.67,2570.04,435.6,11,3.38,115,2,4,1415.17,20.32
2023-02-18,Bolts & Nuts,78,185.69,14542.68,8263.75,3683.39,109.9,2,1.14,810,3,1,5650.44,38.85
2023-02-21,Plastic Valves,85,176.69,15225.05,9879.29,5278.9,72.7,3,2.65,500,3,2,3504.47,23.02
2023-02-24,Steel Rods,62,59.01,3741.34,2100.81,1100.04,40.5,1,1.56,893,3,1,852.73,22.79
2023-02-27,Bolts & Nuts,209,135.4,29645.19,19563.03,9226.56,152.4,15,7.18,185,6,6,9097.1,30.69
2023-03-02,Copper Pipes,376,165.27,62242.81,39729.97,16794.32,326.7,19,8.15,349,1,9,21672.86,34.82
2023-03-05,Plastic Valves,236,115.49,26773.1,19478.52,10407.66,174.9,9,3.73,490,2,4,6262.09,23.39
2023-03-08,Bolts & Nuts,292,110.63,33257.53,20625.75,10396.65,227.7,12,4.38,881,1,5,12027.64,36.17
2023-03-11,Steel Rods,135,55.95,7380.15,4231.88,2346.42,125.2,10,4.14,434,2,5,1869.68,25.33
2023-03-14,Steel Rods,333,27.69,9164.5,5302.56,2672.66,253.1,7,3.87,728,3,4,3260.52,35.58
2023-03-17,Aluminum Sheets,115,180.47,19879.18,13961.19,7963.97,212.2,6,2.6,618,3,1,4217.46,21.22
2023-03-20,Aluminum Sheets,219,181.08,37774.23,25446.37,12987.35,135.9,10,4.87,236,2,5,11477.29,30.38
2023-03-23,Copper Pipes,94,130.29,12813.88,7306.79,3742.45,121.0,5,2.73,982,1,3,4197.07,32.75
2023-03-26,Bolts & Nuts,111,74.42,8538.16,4839.61,2784.38,123.8,1,1.96,787,4,0,1878.43,22.0
2023-03-29,Bolts & Nuts,490,76.35,38144.67,26327.22,12655.4,967.0,30,10.31,939,1,13,10341.13,27.11
2023-04-01,Aluminum Sheets,183,147.93,26824.71,15143.96,6463.49,122.3,14,5.08,597,2,5,10381.31,38.7
2023-04-04,Bolts & Nuts,333,180.45,58126.68,41524.07,16848.66,365.2,17,7.95,926,2,7,15616.11,26.87
2023-04-07,Bolts & Nuts,77,178.55,13276.01,9177.02,5056.79,150.5,5,3.79,826,2,2,3099.49,23.35
2023-04-10,Steel Rods,157,158.18,24214.01,13711.66,7185.76,282.3,12,4.02,576,0,5,8998.12,37.16
2023-04-13,Aluminum Sheets,93,131.99,12335.5,6993.83,3782.37,160.5,6,4.41,693,4,1,3350.46,27.16
2023-04-16,Plastic Valves,389,25.99,10327.07,7717.71,3415.8,345.0,8,3.86,322,1,2,1116.6,10.81
2023-04-19,Aluminum Sheets,335,40.71,13856.32,8658.18,3699.42,253.4,17,7.78,471,0,8,3861.46,27.87
2023-04-22,Plastic Valves,495,180.73,87492.61,54606.63,22001.5,744.0,26,10.2,501,2,10,31290.0,35.76
2023-04-25,Steel Rods,380,125.22,49748.01,35448.44,16664.93,719.7,15,5.78,542,2,5,13101.76,26.34
2023-04-28,Copper Pipes,177,11.75,2129.23,1574.46,815.54,236.3,11,3.37,589,3,2,-35.44,-1.66
2023-05-01,Bolts & Nuts,397,29.28,11687.34,8732.78,4178.19,538.9,30,9.81,714,2,11,1611.11,13.79
2023-05-04,Steel Rods,280,136.07,38525.25,26993.7,13159.29,257.6,21,7.92,372,0,7,9595.11,24.91
2023-05-07,Bolts & Nuts,239,10.96,2598.38,1624.64,943.64,395.4,10,4.9,625,2,6,210.79,8.11
2023-05-10,Copper Pipes,274,40.55,10830.41,6137.59,2882.53,213.9,5,2.27,258,2,3,3157.81,29.16
2023-05-13,Copper Pipes,434,114.26,48874.63,34477.6,17335.26,427.7,30,9.42,251,3,11,13595.63,27.82
2023-05-16,Steel Rods,426,141.46,61815.79,40902.32,22771.57,484.9,29,11.2,719,2,14,19609.73,31.72
2023-05-19,Copper Pipes,332,133.87,42286.57,26845.39,12867.23,418.8,6,4.75,287,2,3,14796.17,34.99
2023-05-22,Plastic Valves,495,52.61,25042.13,18312.58,9603.43,427.5,30,10.58,912,0,12,5553.99,22.18
2023-05-25,Copper Pipes,170,145.31,23581.2,13494.09,7725.0,114.3,12,4.12,197,3,2,8452.87,35.85
2023-05-28,Bolts & Nuts,165,55.08,8670.81,5623.24,3317.17,233.6,8,3.22,230,3,5,2026.21,23.37
2023-05-31,Bolts & Nuts,282,71.83,20976.08,11584.47,4974.54,263.1,14,4.26,904,4,4,7894.24,37.63
2023-06-03,Bolts & Nuts,308,151.83,47716.02,30716.34,17978.81,422.5,12,6.34,270,0,3,15306.51,32.08
2023-06-06,Bolts & Nuts,408,133.43,54298.84,30475.8,15189.85,298.5,6,2.15,282,4,3,21932.27,40.39
2023-06-09,Plastic Valves,247,171.35,40621.35,23307.05,10526.6,301.8,8,4.13,463,0,6,16462.34,40.53
2023-06-12,Aluminum Sheets,460,134.95,62024.95,35571.63,17495.09,597.5,30,9.82,138,2,13,25354.35,40.88
2023-06-15,Steel Rods,186,117.98,21886.07,14879.07,8868.02,107.5,2,2.26,626,1,1,6278.38,28.69
2023-06-18,Bolts & Nuts,367,27.8,9869.18,6900.62,3440.12,368.8,12,5.55,987,2,5,979.83,9.93
2023-06-21,Copper Pipes,214,79.87,16979.12,11319.53,5272.07,150.1,8,4.89,596,2,4,3769.09,22.2
2023-06-24,Bolts & Nuts,274,60.39,16378.92,12160.28,6404.58,163.0,13,4.52,615,0,6,2908.7,17.76
2023-06-27,Copper Pipes,356,56.36,20296.6,12684.85,5683.18,706.6,26,7.83,448,2,11,5848.7,28.82
2023-06-30,Copper Pipes,283,194.87,55893.23,33935.15,14088.95,278.3,10,3.41,496,4,4,20676.64,36.99
2023-07-03,Bolts & Nuts,221,84.69,17865.46,12929.59,5505.11,379.0,8,5.1,821,1,3,3500.49,19.59
2023-07-06,Plastic Valves,201,179.49,35625.12,21186.94,9017.36,177.3,12,6.22,260,2,4,13804.49,38.75
2023-07-09,Copper Pipes,364,129.92,47886.08,35562.33,15305.33,554.1,15,6.29,115,3,6,10690.84,22.33
2023-07-12,Copper Pipes,423,161.01,68128.59,37636.34,16099.53,693.9,11,5.1,592,0,3,29800.68,43.74
2023-07-15,Bolts & Nuts,209,105.5,22835.54,16989.09,8973.21,291.2,9,4.7,525,2,4,4107.35,17.99
2023-07-18,Copper Pipes,145,119.61,17618.68,9842.36,4294.97,175.1,3,1.43,207,1,0,6103.28,34.64
2023-07-21,Copper Pipes,282,103.58,28225.01,20554.26,9642.69,315.2,6,4.54,993,0,1,6107.63,21.64
2023-07-24,Bolts & Nuts,229,47.1,10322.72,6766.96,3920.49,234.3,10,4.26,549,1,4,3001.52,29.08
2023-07-27,Bolts & Nuts,162,147.27,24197.52,18114.09,8962.71,306.9,6,2.95,410,3,4,5128.74,21.2
2023-07-30,Steel Rods,367,63.35,22148.61,12508.63,6673.5,640.8,27,9.66,838,1,12,8745.31,39.48
2023-08-02,Plastic Valves,491,14.62,7239.99,4783.97,2078.46,956.2,17,5.24,269,2,5,1415.82,19.56
2023-08-05,Plastic Valves,101,132.64,13986.4,10403.93,4561.68,69.3,5,2.0,645,1,1,2951.01,21.1
2023-08-08,Copper Pipes,317,43.65,13941.48,9126.37,3725.14,506.0,17,7.31,513,5,8,2909.67,20.87
2023-08-11,Plastic Valves,344,188.69,64183.48,43380.31,18817.82,656.2,4,1.45,350,1,1,19472.47,30.34
2023-08-14,Copper Pipes,435,191.25,84385.82,58154.47,26502.04,335.8,25,9.31,858,4,10,25273.06,29.95
2023-08-17,Steel Rods,436,183.82,79810.94,51151.49,22271.47,261.5,10,3.74,880,2,5,27563.98,34.54
2023-08-20,Bolts & Nuts,162,80.33,13072.82,8830.84,3689.0,261.1,13,5.07,240,0,4,3071.18,23.49
2023-08-23,Bolts & Nuts,150,12.94,2026.69,1351.52,573.22,204.3,3,1.77,373,1,1,-725.72,-35.81
2023-08-26,Bolts & Nuts,162,186.38,29849.66,21797.17,10727.6,285.6,6,2.87,515,3,1,6778.97,22.71
2023-08-29,Plastic Valves,489,91.35,46730.3,26126.41,11528.72,347.0,8,4.56,707,2,3,18724.8,40.07
2023-09-01,Steel Rods,130,193.66,26196.3,15880.0,7508.92,220.1,10,3.89,838,3,4,9070.85,34.63
2023-09-04,Plastic Valves,236,193.09,44182.98,32699.04,16371.87,189.4,11,5.0,990,3,3,9495.7,21.49
2023-09-07,Plastic Valves,162,172.07,26674.92,19420.75,10449.9,120.8,8,3.83,138,1,4,5477.03,20.53
2023-09-10,Steel Rods,51,65.95,3229.17,2070.32,844.41,38.1,1,2.29,913,0,0,346.08,10.72
2023-09-13,Steel Rods,179,83.17,14170.19,9551.08,5347.48,308.2,11,6.11,128,1,5,2723.22,19.22
2023-09-16,Steel Rods,269,171.72,44319.3,26834.28,14103.56,402.9,7,4.3,576,4,3,16810.47,37.93
2023-09-19,Steel Rods,103,70.22,7365.02,4327.86,1801.91,132.3,8,3.04,417,2,5,1310.99,17.8
2023-09-22,Bolts & Nuts,392,42.2,15833.04,10176.52,5848.61,407.0,10,3.09,344,4,4,4585.59,28.96
2023-09-25,Aluminum Sheets,273,115.79,31038.44,19264.64,11253.91,495.7,6,2.59,847,3,2,9956.84,32.08
2023-09-28,Aluminum Sheets,274,187.87,53251.67,35504.55,14635.53,298.3,3,2.69,796,2,1,15945.03,29.94
2023-10-01,Steel Rods,434,142.25,58793.35,33250.4,15141.42,748.6,19,5.85,371,3,8,23834.06,40.54
2023-10-04,Aluminum Sheets,452,118.31,55157.78,41085.87,23059.04,523.7,22,8.09,539,2,9,12386.86,22.46
2023-10-07,Aluminum Sheets,175,28.46,4871.85,3640.45,2000.98,186.4,3,2.69,847,2,1,274.38,5.63
2023-10-10,Steel Rods,179,126.85,21839.15,15060.98,6580.21,213.7,12,4.6,338,2,4,6156.79,28.19
2023-10-13,Aluminum Sheets,102,198.11,20604.77,13541.85,5983.74,97.1,4,3.51,476,3,1,5958.45,28.92
2023-10-16,Plastic Valves,221,36.62,8197.37,5016.02,2378.07,358.3,10,3.32,365,1,3,2421.06,29.53
2023-10-19,Copper Pipes,267,108.48,30057.48,21423.74,10645.55,334.8,11,3.53,458,2,6,7091.31,23.59
2023-10-22,Copper Pipes,209,176.7,37798.42,25965.48,13596.85,177.3,8,4.58,439,3,2,10813.79,28.61
2023-10-25,Steel Rods,247,150.75,38365.27,22348.67,10588.41,456.8,12,5.09,488,2,4,14053.18,36.63
2023-10-28,Bolts & Nuts,465,142.43,64786.37,47435.64,23362.38,500.3,10,5.07,676,0,3,15889.27,24.53
2023-10-31,Steel Rods,296,143.47,41097.3,29364.33,16135.53,389.3,7,3.4,788,1,4,9999.25,24.33
2023-11-03,Bolts & Nuts,373,78.3,29937.84,22152.8,9023.65,693.7,26,8.54,102,2,10,7086.25,23.67
2023-11-06,Copper Pipes,488,65.78,33085.6,22999.25,10360.87,700.9,30,11.46,528,2,13,8293.33,25.07
2023-11-09,Steel Rods,252,163.78,43297.0,29125.16,15805.35,170.2,9,5.1,241,1,3,12287.7,28.38
2023-11-12,Plastic Valves,233,163.92,37859.62,23989.7,13891.03,445.0,7,4.18,475,0,3,12639.33,33.38
2023-11-15,Aluminum Sheets,172,174.74,29670.63,21853.77,10977.92,247.9,9,3.52,769,5,3,6407.48,21.6
2023-11-18,Bolts & Nuts,450,183.52,84866.73,61376.7,31082.55,451.1,17,6.87,423,2,9,21842.82,25.74
2023-11-21,Aluminum Sheets,304,107.16,32058.03,17921.84,7552.88,215.5,4,2.28,245,1,0,13373.93,41.72
2023-11-24,Aluminum Sheets,343,105.29,37670.13,20917.22,10238.61,580.0,7,2.37,392,2,3,15499.06,41.14
2023-11-27,Steel Rods,329,161.68,55099.21,34453.13,17451.32,470.5,20,8.75,764,0,9,19548.09,35.48
2023-11-30,Aluminum Sheets,374,133.49,49570.76,35299.87,15831.78,486.3,21,6.71,531,2,9,13551.33,27.34
2023-12-03,Plastic Valves,421,143.37,61873.0,46247.3,20989.27,775.0,5,4.35,804,1,2,14574.4,23.56
2023-12-06,Aluminum Sheets,147,161.2,24299.57,14095.78,6701.93,247.4,4,2.54,684,3,1,9601.53,39.51
2023-12-09,Steel Rods,247,179.1,42482.01,28413.08,11479.29,179.7,6,2.36,498,4,2,13530.21,31.85
2023-12-12,Plastic Valves,444,74.22,34280.24,21465.54,9968.94,429.6,25,9.13,916,2,10,12111.95,35.33
2023-12-15,Copper Pipes,289,81.36,23525.39,17502.49,7741.17,252.2,3,3.52,988,0,2,4078.23,17.34
2023-12-18,Aluminum Sheets,193,27.86,5552.52,3989.06,1856.91,311.9,3,3.1,443,2,3,239.17,4.31
2023-12-21,Steel Rods,146,119.87,17186.09,12333.87,5228.97,80.3,10,5.42,239,2,3,2903.49,16.89
2023-12-24,Copper Pipes,250,16.83,4373.92,2815.66,1627.75,338.7,6,3.78,286,3,1,409.51,9.36
